Temperature,Humidity,Datetime
30.90,72.00,2020/7/5 07:20:46
30.80,71.00,2020/7/5 07:20:51
30.80,71.00,2020/7/5 07:20:55
30.70,72.00,2020/7/5 07:20:59
30.70,71.00,2020/7/5 07:21:04
30.80,71.00,2020/7/5 07:21:08
30.60,71.00,2020/7/5 07:21:12
30.70,71.00,2020/7/5 07:21:16
30.80,71.00,2020/7/5 07:21:21
30.70,71.00,2020/7/5 07:21:25
30.60,71.00,2020/7/5 07:21:29
30.80,71.00,2020/7/5 07:21:33
30.90,73.00,2020/7/5 07:21:38
30.80,71.00,2020/7/5 07:21:42
30.80,73.00,2020/7/5 07:21:47
30.70,73.00,2020/7/5 07:21:51
30.90,73.00,2020/7/5 07:21:55
30.80,71.00,2020/7/5 07:21:59
30.80,71.00,2020/7/5 07:22:04
30.80,71.00,2020/7/5 07:22:08
30.80,71.00,2020/7/5 07:22:12
30.90,71.00,2020/7/5 07:22:16
30.90,73.00,2020/7/5 07:22:21
30.90,71.00,2020/7/5 07:22:26
30.80,71.00,2020/7/5 07:22:30
30.70,73.00,2020/7/5 07:22:34
30.80,73.00,2020/7/5 07:22:39
30.70,73.00,2020/7/5 07:22:43
30.70,71.00,2020/7/5 07:22:48
30.80,71.00,2020/7/5 07:22:52
30.70,73.00,2020/7/5 07:22:56
30.80,73.00,2020/7/5 07:23:00
30.80,71.00,2020/7/5 07:23:05
30.80,71.00,2020/7/5 07:23:09
30.80,71.00,2020/7/5 07:23:13
30.80,71.00,2020/7/5 07:23:17
30.70,71.00,2020/7/5 07:23:21
30.60,71.00,2020/7/5 07:23:26
30.80,71.00,2020/7/5 07:23:30
30.60,71.00,2020/7/5 07:23:34
30.60,71.00,2020/7/5 07:23:38
30.60,71.00,2020/7/5 07:23:43
30.70,71.00,2020/7/5 07:23:47
30.60,71.00,2020/7/5 07:23:51
30.60,71.00,2020/7/5 07:23:55
30.60,71.00,2020/7/5 07:23:59
30.50,71.00,2020/7/5 07:24:03
30.60,71.00,2020/7/5 07:24:08
30.50,71.00,2020/7/5 07:24:12
30.50,71.00,2020/7/5 07:24:16
30.50,71.00,2020/7/5 07:24:20
30.80,71.00,2020/7/5 07:24:25
30.90,71.00,2020/7/5 07:24:29
30.80,71.00,2020/7/5 07:24:33
30.50,71.00,2020/7/5 07:24:37
30.50,71.00,2020/7/5 07:24:41
30.50,71.00,2020/7/5 07:24:46
30.80,71.00,2020/7/5 07:24:50
30.50,71.00,2020/7/5 07:24:55
30.50,71.00,2020/7/5 07:24:59
30.50,71.00,2020/7/5 07:25:03
30.50,71.00,2020/7/5 07:25:07
30.60,71.00,2020/7/5 07:25:12
30.50,71.00,2020/7/5 07:25:16
30.50,71.00,2020/7/5 07:25:20
30.70,71.00,2020/7/5 07:25:24
30.50,71.00,2020/7/5 07:25:29
30.80,71.00,2020/7/5 07:25:33
30.50,71.00,2020/7/5 07:25:37
30.50,71.00,2020/7/5 07:25:41
30.50,71.00,2020/7/5 07:25:46
30.50,71.00,2020/7/5 07:25:50
30.50,71.00,2020/7/5 07:25:54
30.50,71.00,2020/7/5 07:25:59
30.60,71.00,2020/7/5 07:26:03
30.50,71.00,2020/7/5 07:26:07
30.60,71.00,2020/7/5 07:26:11
30.60,71.00,2020/7/5 07:26:16
30.50,71.00,2020/7/5 07:26:20
30.50,71.00,2020/7/5 07:26:24
30.60,71.00,2020/7/5 07:26:28
30.50,71.00,2020/7/5 07:26:33
30.50,71.00,2020/7/5 07:26:37
30.50,71.00,2020/7/5 07:26:41
30.50,71.00,2020/7/5 07:26:45
30.80,71.00,2020/7/5 07:26:50
30.50,71.00,2020/7/5 07:26:54
